Trip_Distance_km,Time_of_Day,Day_of_Week,Passenger_Count,Traffic_Conditions,Weather,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price,Column1,Trip_Price per person
19.35,Morning,Weekday,3,Low,Clear,3.56,0.8,0.32,53.82,36.2624,25717.01952,12.08746667
47.59,Afternoon,Weekday,1,High,Clear,,0.62,0.43,40.57,,25717.01952,0
36.87,Evening,Weekend,1,High,Clear,2.7,1.21,0.15,37.27,52.9032,25717.01952,52.9032
30.33,Evening,Weekday,4,Low,,3.48,0.51,0.15,116.81,36.4698,25717.01952,9.11745
,Evening,Weekday,3,High,Clear,2.93,0.63,0.32,22.64,15.618,25717.01952,5.206
8.64,Afternoon,Weekend,2,Medium,Clear,2.55,1.71,0.48,89.33,60.2028,25717.01952,30.1014
3.85,Afternoon,Weekday,4,High,Rain,3.51,1.66,,5.05,11.2645,25717.01952,2.816125
43.44,Evening,Weekend,3,,Clear,2.97,1.87,0.23,,101.1216,25717.01952,33.7072
30.45,Morning,Weekday,3,High,Clear,2.77,1.78,0.34,110.33,,25717.01952,0
35.7,Afternoon,Weekday,2,Low,Rain,3.39,1.52,0.47,,75.5657,25717.01952,37.78285
,Morning,Weekday,4,,Clear,2.4,0.58,0.43,26.34,14.892,25717.01952,3.723
48.53,Night,Weekday,3,Low,Clear,4.78,,0.5,79.94,,25717.01952,0
41.79,Night,Weekend,3,High,Clear,4.6,1.77,0.11,86.95,88.1328,25717.01952,29.3776
11.4,Morning,Weekday,3,,Clear,4.12,,0.15,84.12,36.118,25717.01952,12.03933333
9.91,Evening,Weekday,2,High,Clear,2.32,1.26,0.34,41.72,28.9914,25717.01952,14.4957
9.99,Night,Weekday,4,High,Clear,4.33,0.85,0.43,34,27.4415,25717.01952,6.860375
15.91,Morning,Weekday,4,Low,Clear,4.42,1.77,0.21,114.93,56.716,25717.01952,14.179
26.71,Afternoon,Weekend,4,Low,Rain,4.3,1.59,0.2,111.18,69.0049,25717.01952,17.251225
22.17,Night,,4,Low,Clear,2.34,1.97,0.41,57.59,69.6268,25717.01952,17.4067
15.27,Morning,,,Low,Clear,3.93,0.73,0.12,,27.3543,25717.01952,#DIV/0!
30.98,Afternoon,Weekend,1,Low,Rain,4.5,0.84,0.25,57.02,44.7782,25717.01952,44.7782
7.84,Morning,Weekday,4,Medium,,3.73,0.82,0.3,53.8,26.2988,25717.01952,6.5747
105.94355,Night,Weekend,2,Low,Rain,3.94,1.69,0.32,23.03,201.8695092,25717.01952,100.9347546
18.95,Night,Weekday,1,Low,Clear,3.38,0.78,0.39,54.04,39.2366,25717.01952,39.2366
23.35,Night,,3,Low,Rain,3.59,0.6,0.24,66.8,33.632,25717.01952,11.21066667
39.47,Afternoon,Weekday,1,Low,Clear,,,0.35,7.59,83.6965,25717.01952,83.6965
10.78,Evening,,3,High,Rain,3.92,0.54,0.33,56.07,28.2443,25717.01952,9.414766667
138.0983279,Evening,Weekend,4,Medium,Rain,2.24,1.75,0.32,94.86,280.8773016,25717.01952,70.21932539
30.03,,Weekday,1,High,Clear,3.31,1.05,0.36,83.21,64.7971,25717.01952,64.7971
3.28,Evening,Weekday,2,Medium,Clear,2.88,1.76,0.2,78.04,24.2608,25717.01952,12.1304
30.77,Morning,Weekday,1,Low,Clear,3.64,1.33,0.13,109.6,58.8121,25717.01952,58.8121
9.36,Afternoon,Weekday,1,Medium,Clear,2.4,1.85,0.15,7.07,20.7765,25717.01952,20.7765
4.19,Morning,Weekday,1,Low,Clear,4.07,1.89,0.19,69.06,,25717.01952,0
47.5,Morning,Weekend,,Low,Clear,4.39,0.51,0.3,95.55,57.28,25717.01952,#DIV/0!
48.32,Morning,Weekday,2,Low,Clear,2.49,0.61,0.44,67.25,61.5552,25717.01952,30.7776
40.61,Afternoon,Weekday,1,Low,Clear,2.31,0.88,0.38,42.25,54.1018,25717.01952,54.1018
15.93,Afternoon,Weekday,2,Low,,2.44,1.5,0.42,20.67,35.0164,25717.01952,17.5082
5.79,Evening,Weekday,4,Low,Clear,4.63,1.83,0.24,107.07,40.9225,25717.01952,10.230625
34.53,Morning,Weekday,3,Medium,Clear,3.58,,0.26,59.14,60.0471,25717.01952,20.0157
22.57,Afternoon,Weekday,1,Low,Clear,3.4,1.41,,105.98,62.7785,25717.01952,62.7785
6.98,Afternoon,Weekend,2,Low,Clear,2.32,0.78,0.18,72.37,20.791,25717.01952,10.3955
25.26,Evening,Weekday,2,High,Clear,3.95,1.71,0.12,82.53,57.0482,25717.01952,28.5241
2.69,Afternoon,Weekday,4,Low,Clear,4.6,1.95,0.34,97.49,42.9921,25717.01952,10.748025
45.56,Afternoon,Weekday,,Low,Clear,,0.9,0.5,80.8,85.884,25717.01952,#DIV/0!
13.68,Evening,Weekend,3,High,Clear,3.88,,0.17,50.78,29.4758,25717.01952,9.825266667
33.46,Afternoon,Weekend,2,Low,Rain,2.23,0.63,0.12,64.07,30.9982,25717.01952,15.4991
16.27,Morning,Weekday,1,Low,Clear,2.34,,0.41,97.35,64.0553,25717.01952,64.0553
26.48,Morning,Weekend,3,Medium,Clear,2.15,1.25,0.2,47.97,44.844,25717.01952,14.948
27.79,Evening,Weekday,2,Low,Clear,2.77,0.72,0.43,49.63,44.1197,25717.01952,22.05985
10.06,Morning,Weekday,2,Medium,Rain,2.41,1.16,0.38,16,20.1596,25717.01952,10.0798
48.51,Evening,Weekday,3,High,Rain,,1,0.48,110.18,104.1764,25717.01952,34.72546667
38.98,Afternoon,Weekday,3,Low,Clear,3.16,1.28,0.26,15.47,57.0766,25717.01952,19.02553333
47.04,Night,Weekday,4,Medium,,4.83,1.38,0.36,79.54,98.3796,25717.01952,24.5949
44.85,Evening,Weekend,1,Medium,Rain,3.83,0.51,0.29,52.52,41.9343,25717.01952,41.9343
30.3,Night,Weekend,1,Low,Clear,4.5,1.64,0.35,51.65,72.2695,25717.01952,72.2695
46.17,Afternoon,Weekday,4,Medium,Clear,4.13,1.57,0.28,83.15,99.8989,25717.01952,24.974725
5.34,,Weekday,2,Low,Clear,2.34,,0.18,12.72,10.2366,25717.01952,5.1183
10.6,Afternoon,Weekday,3,Medium,Clear,4.21,,0.3,73.28,32.342,25717.01952,10.78066667
3.22,Afternoon,Weekday,3,Low,Rain,2.83,1.63,0.31,93.78,37.1504,25717.01952,12.38346667
16.94,Afternoon,Weekday,3,Medium,Snow,3.92,1.93,0.42,100.24,78.715,25717.01952,26.23833333
20.05,Evening,,2,Low,,3.02,0.86,0.39,24.61,29.8609,25717.01952,14.93045
14.3,Night,Weekday,3,High,Clear,4.99,0.99,0.37,108.2,59.181,25717.01952,19.727
41.61,Evening,Weekend,3,Low,Rain,2.79,0.78,0.15,,47.3148,25717.01952,15.7716
18.48,Afternoon,Weekday,4,Medium,Clear,2.84,1.37,0.39,106.41,69.6575,25717.01952,17.414375
146.0670472,Afternoon,Weekday,2,Medium,Clear,4.79,0.73,0.3,60.81,320.9586636,25717.01952,160.4793318
27.59,Evening,Weekend,1,Medium,Rain,2.07,1.03,0.46,67.33,61.4595,25717.01952,61.4595
7.91,Morning,Weekday,4,Medium,Clear,4.09,1.55,0.47,110.69,68.3748,25717.01952,17.0937
40.31,Morning,Weekday,4,Medium,Clear,4.18,1.34,0.12,108.49,71.2142,25717.01952,17.80355
4.65,Afternoon,Weekday,1,Medium,,4.51,1.08,0.43,56.54,33.8442,25717.01952,33.8442
49.36,Morning,,4,High,Rain,4.92,1.13,0.12,36.56,65.084,25717.01952,16.271
38.84,Morning,Weekend,2,Low,Clear,4.93,1.34,0.25,50.21,69.5281,25717.01952,34.76405
10.74,Morning,,3,Medium,Clear,2.2,0.51,0.32,49.59,23.5462,25717.01952,7.848733333
1.27,Morning,Weekday,2,High,Clear,4.47,0.62,0.16,37.99,11.3358,25717.01952,5.6679
40.96,Morning,Weekend,1,High,,3.94,1.82,0.4,35.89,92.8432,25717.01952,92.8432
35.64,Night,Weekend,1,High,Rain,3.94,0.62,0.1,104.02,36.4388,25717.01952,36.4388
36.72,,Weekend,,Low,Clear,2.39,1.56,0.17,13.03,61.8883,25717.01952,#DIV/0!
38.79,Afternoon,Weekday,2,Low,Clear,3.95,1.88,0.33,82.93,104.2421,25717.01952,52.12105
4.63,Afternoon,Weekday,,Medium,Clear,4.95,0.91,0.39,24.87,18.8626,25717.01952,#DIV/0!
18.56,Morning,Weekend,1,Medium,Snow,4.74,,0.47,44.62,45.385,25717.01952,45.385
6.68,Night,Weekend,2,Medium,Clear,3.32,1.35,0.38,12.08,16.9284,25717.01952,8.4642
43.29,Evening,Weekday,1,Medium,Rain,2.12,1.82,0.37,36.05,94.2463,25717.01952,94.2463
31.54,Morning,Weekday,2,High,Clear,3.09,1.91,0.26,93.37,87.6076,25717.01952,43.8038
17.21,Afternoon,Weekday,2,Low,Rain,4.48,1.61,0.1,106.78,42.8661,25717.01952,21.43305
4.11,Evening,Weekend,2,High,Rain,4.1,0.63,0.15,30.48,11.2613,25717.01952,5.63065
,Night,Weekday,1,Medium,Clear,3.38,1.5,0.31,58.31,45.8161,25717.01952,45.8161
16.93,Afternoon,Weekday,4,Low,Snow,2.17,1.12,0.37,59.09,42.9949,25717.01952,10.748725
36.75,Afternoon,Weekday,2,Medium,Clear,3.28,1.21,0.27,105.46,76.2217,25717.01952,38.11085
,,Weekday,1,Medium,Clear,3.41,0.57,0.39,92.72,57.9476,25717.01952,57.9476
44.47,Night,Weekend,1,Low,Clear,4.79,0.79,0.31,64,59.7613,25717.01952,59.7613
24.14,Morning,Weekday,2,Low,,3.92,1.69,,82.14,55.3948,25717.01952,27.6974
6.86,Night,Weekend,2,High,Clear,2.93,1.18,0.18,102.45,29.4658,25717.01952,14.7329
35.95,Afternoon,Weekend,4,Low,Clear,3.58,0.95,0.44,6.1,40.4165,25717.01952,10.104125
38.28,Afternoon,Weekday,1,Medium,Clear,,1.08,0.39,51.33,63.5611,25717.01952,63.5611
28.5,Afternoon,Weekday,1,Medium,Clear,4.92,1.78,0.46,109.33,105.9418,25717.01952,105.9418
38.78,Morning,Weekday,3,Medium,Clear,3.08,1.62,0.15,90.14,,25717.01952,0
,Morning,Weekend,1,Medium,Clear,3.43,0.91,0.5,67.43,60.077,25717.01952,60.077
26.61,Morning,Weekday,4,Low,Rain,3.07,0.68,0.18,65.91,33.0286,25717.01952,8.25715
21.95,Morning,Weekday,3,Medium,Clear,4.05,0.88,0.1,44.99,27.865,25717.01952,9.288333333
2.25,Evening,Weekend,3,Low,Clear,3.99,1.88,0.5,,40.65,25717.01952,13.55
6.29,Afternoon,Weekday,3,,Clear,4.15,1.37,0.21,80.37,29.645,25717.01952,9.881666667
2.54,Morning,Weekend,,Low,Clear,2.8,1.3,0.37,53.11,25.7527,25717.01952,#DIV/0!
32.18,Night,Weekday,2,Medium,Rain,2.95,1.39,0.17,87.13,62.4923,25717.01952,31.24615
16.4,Evening,Weekday,1,,Rain,2.38,1.05,0.33,104.04,53.9332,25717.01952,53.9332
25.92,Night,Weekday,3,Low,Clear,3.97,1.71,0.46,22.79,58.7766,25717.01952,19.5922
45.47,Night,Weekend,4,Low,Rain,2.12,1.28,0.23,56.93,73.4155,25717.01952,18.353875
13.22,Morning,Weekday,2,Low,Rain,3.79,0.68,0.37,51.92,31.99,25717.01952,15.995
21.11,Afternoon,Weekend,4,High,Rain,4.61,0.69,0.18,84.06,34.3067,25717.01952,8.576675
38.02,Evening,,4,,Clear,,1.31,0.35,33.73,66.2817,25717.01952,16.570425
112.8309583,Afternoon,Weekday,2,High,Snow,3.35,1.9,0.23,78.63,233.0082852,25717.01952,116.5041426
4.77,Morning,Weekend,2,High,Clear,,0.96,0.18,105.91,,25717.01952,0
102.7475562,Evening,Weekday,2,Medium,Clear,2.23,1.8,0.23,53.09,274.5350868,25717.01952,137.2675434
,Morning,Weekday,2,Low,Clear,4.01,1.65,0.17,109.77,37.3559,25717.01952,18.67795
46.56,Morning,Weekday,3,Low,Clear,4.46,0.87,0.46,119.21,99.8038,25717.01952,33.26793333
40.6,Afternoon,Weekend,3,Medium,Clear,2.73,0.55,0.26,17.2,29.532,25717.01952,9.844
32.04,Afternoon,Weekday,3,Low,Clear,3.26,0.65,0.2,31.8,30.446,25717.01952,10.14866667
43.7,,Weekday,3,Low,Clear,4.52,1.59,0.28,114.29,106.0042,25717.01952,35.33473333
40.38,Morning,Weekday,1,Medium,Rain,,0.8,0.23,115.21,63.4323,25717.01952,63.4323
10.14,Evening,Weekday,3,High,Rain,2.73,1.06,0.4,16.24,19.9744,25717.01952,6.658133333
44.74,,Weekday,2,Medium,Clear,3.65,1.25,0.49,6.72,62.8678,25717.01952,31.4339
27.43,Morning,Weekend,4,Low,Rain,2.58,1.59,0.28,23.53,52.7821,25717.01952,13.195525
40.56,Evening,Weekend,3,Medium,Rain,2.31,0.67,0.44,119.54,82.0828,25717.01952,27.36093333
44.91,Night,Weekday,1,Low,Rain,4.73,1.11,0.33,25.7,63.0611,25717.01952,63.0611
16.58,Evening,,2,Low,Clear,4.46,1.23,0.16,62.79,,25717.01952,0
6.39,Evening,Weekday,4,High,Clear,4.28,1.31,0.38,102.57,51.6275,25717.01952,12.906875
12.17,Afternoon,Weekend,4,Low,Rain,2.15,1.73,0.31,7.35,25.4826,25717.01952,6.37065
21.93,Afternoon,,3,Low,,4.53,0.76,,74.52,48.024,25717.01952,16.008
41.08,Morning,,4,Low,,3.31,1.71,0.46,36.86,90.5124,25717.01952,22.6281
43.18,Afternoon,Weekday,3,High,Clear,3.03,1.54,,104.17,98.6948,25717.01952,32.89826667
1.34,,Weekend,3,Medium,Clear,3.64,1.33,0.46,37.6,22.7182,25717.01952,7.572733333
26.03,Morning,Weekday,2,Medium,Clear,2.27,1.55,0.4,83.98,76.2085,25717.01952,38.10425
21.45,Evening,Weekday,2,Medium,Clear,4.27,1.12,0.3,82.54,53.056,25717.01952,26.528
11.88,Afternoon,Weekday,1,,,3.75,0.71,0.34,30.47,22.5446,25717.01952,22.5446
6.87,Morning,Weekday,2,Medium,Rain,2.56,1.5,0.23,9,14.935,25717.01952,7.4675
17.54,Morning,Weekday,2,Low,Rain,2.56,1.29,0.49,52.06,50.696,25717.01952,25.348
,Afternoon,Weekend,3,Low,Clear,2.55,1.46,0.37,38.26,85.6182,25717.01952,28.5394
16.84,Morning,Weekend,2,Medium,Snow,2.17,1.01,0.12,98.03,30.942,25717.01952,15.471
26.42,Evening,Weekday,3,High,Clear,3.76,1.86,0.23,97.04,75.2204,25717.01952,25.07346667
,,,3,Low,Clear,4.52,1.38,0.35,57.56,73.587,25717.01952,24.529
18.82,Afternoon,Weekday,2,Low,Rain,2.05,0.63,0.12,74.75,22.8766,25717.01952,11.4383
48.62,Afternoon,Weekend,1,Low,Rain,2.15,1.17,0.11,74.49,67.2293,25717.01952,67.2293
48.16,,Weekend,1,,Rain,3.72,1.63,0.28,100.12,110.2544,25717.01952,110.2544
109.616082,Afternoon,Weekday,4,High,Clear,4.46,1.69,0.23,53.88,327.2176655,25717.01952,81.80441637
,Afternoon,Weekend,4,Medium,Rain,2.98,1.24,0.28,36.68,44.7092,25717.01952,11.1773
15.74,Afternoon,Weekday,2,,Clear,3.05,1.84,0.21,35.48,39.4624,25717.01952,19.7312
14.96,Morning,Weekday,1,Medium,Rain,3.79,0.9,0.17,66.66,28.5862,25717.01952,28.5862
2.81,Evening,Weekend,3,Low,Rain,2.82,1.12,0.38,56.65,27.4942,25717.01952,9.164733333
30.87,Evening,Weekday,4,Medium,Clear,2.08,1.85,0.31,55.61,76.4286,25717.01952,19.10715
25.63,Afternoon,Weekday,3,Medium,Clear,4.21,,0.18,15.48,54.1556,25717.01952,18.05186667
3.52,Evening,Weekday,4,Medium,Rain,3.88,1.53,0.23,87.64,29.4228,25717.01952,7.3557
14.65,Evening,Weekend,2,High,Clear,3.74,1.79,,29.58,40.0207,25717.01952,20.01035
45.51,Evening,Weekday,1,Medium,Clear,4.23,0.63,0.13,27.65,36.4958,25717.01952,36.4958
12.74,Evening,Weekday,4,Low,Rain,4.03,1.8,0.16,52.47,35.3572,25717.01952,8.8393
8.1,Afternoon,Weekend,1,High,Clear,2.62,0.98,0.13,31.19,14.6127,25717.01952,14.6127
24.98,Afternoon,Weekend,3,Low,Rain,3.06,0.77,0.42,72.14,52.5934,25717.01952,17.53113333
49.3,Afternoon,Weekday,2,Low,Clear,2.38,0.86,0.4,47.72,63.866,25717.01952,31.933
12.86,Evening,Weekday,1,Low,Clear,2.39,1.13,0.4,56.62,39.5698,25717.01952,39.5698
33.93,Morning,Weekday,2,Low,Rain,,0.88,0.39,66.77,59.9287,25717.01952,29.96435
38.32,Evening,Weekday,1,Medium,Clear,4.58,0.98,0.37,28.41,52.6453,25717.01952,52.6453
12.64,Evening,Weekday,3,Medium,Clear,,0.7,0.29,22.91,20.3819,25717.01952,6.793966667
36.68,,Weekend,3,High,Rain,3.89,0.94,0.36,106.25,76.6192,25717.01952,25.53973333
19.02,Evening,Weekday,2,Medium,Clear,2.55,1.36,0.12,54.88,35.0028,25717.01952,17.5014
31.98,Morning,,3,Medium,Clear,2.32,1.16,0.35,52.39,57.7533,25717.01952,19.2511
32.04,,Weekday,4,Low,Clear,4.44,1.02,0.41,9.1,40.8518,25717.01952,10.21295
27.25,Evening,Weekend,1,Low,Rain,3.74,1.62,0.3,,66.566,25717.01952,66.566
5.42,Morning,Weekday,3,Medium,Rain,3.85,1.84,0.24,68.73,30.318,25717.01952,10.106
41.93,Evening,Weekend,4,Medium,Rain,4.34,1.64,0.21,69.27,87.6519,25717.01952,21.912975
,Evening,Weekday,2,High,Clear,4.11,1,0.36,86.31,51.9016,25717.01952,25.9508
10.14,Afternoon,Weekday,4,Low,Rain,4.5,1.62,0.38,25.41,,25717.01952,0
3,Morning,Weekday,2,Low,Clear,2.17,0.73,0.45,34.01,19.6645,25717.01952,9.83225
29.95,Morning,Weekday,2,Medium,Clear,4.24,0.7,0.24,98.23,48.7802,25717.01952,24.3901
34.2,,Weekday,1,Low,Clear,4.55,1.02,0.41,113.92,86.1412,25717.01952,86.1412
1.81,Night,Weekday,1,Low,Rain,2.86,1.71,0.32,20.63,12.5567,25717.01952,12.5567
26.09,,Weekday,4,Medium,Rain,3.92,0.87,0.45,62.23,54.6218,25717.01952,13.65545
12.1,Morning,Weekend,,Low,Clear,,0.59,0.31,,19.2643,25717.01952,#DIV/0!
32.61,Afternoon,,1,Medium,Clear,,0.7,0.31,11.91,31.3891,25717.01952,31.3891
9.54,Afternoon,Weekend,1,,Rain,2.1,1.79,0.33,42.43,33.1785,25717.01952,33.1785
34.86,Evening,Weekday,4,Low,Clear,3.74,1.45,0.4,21.52,62.895,25717.01952,15.72375
19.95,Morning,Weekday,3,Low,,2.5,0.88,0.49,,,25717.01952,0
46.9,Evening,Weekday,1,High,Clear,4.14,1.33,0.13,66.38,,25717.01952,0
7.74,Afternoon,Weekday,1,Low,Clear,,1.29,0.12,21.54,15.0994,25717.01952,15.0994
17.71,Night,Weekday,4,Medium,Clear,2.71,1.48,0.48,6.06,31.8296,25717.01952,7.9574
6.56,Afternoon,Weekday,3,Low,Clear,3.48,0.85,0.31,97.94,39.4174,25717.01952,13.13913333
46.31,Afternoon,Weekday,1,Medium,Rain,4.74,1.8,0.35,,96.939,25717.01952,96.939
43.99,Night,Weekday,2,Low,Clear,2.64,0.96,0.29,74.71,66.5363,25717.01952,33.26815
13.64,Morning,Weekday,4,Medium,Rain,2.43,1.54,0.14,43.75,29.5606,25717.01952,7.39015
33.34,Night,Weekend,1,Medium,Clear,4.28,0.52,0.41,72.33,51.2721,25717.01952,51.2721
41.04,Afternoon,Weekend,1,High,Clear,3.5,1.06,0.4,41.3,63.5224,25717.01952,63.5224
28.2,Morning,Weekend,2,Low,Clear,4.74,1.03,0.22,15,37.086,25717.01952,18.543
26.95,Afternoon,Weekend,2,Low,Clear,2.44,1.32,0.22,,44.7548,25717.01952,22.3774
12.85,Evening,Weekday,4,Low,Snow,3.94,0.61,,26.63,23.4957,25717.01952,5.873925
5.56,Morning,Weekday,4,High,Clear,,1.69,0.13,54.22,19.145,25717.01952,4.78625
,Afternoon,Weekend,2,Medium,Clear,2.47,0.83,0.45,80.7,76.1018,25717.01952,38.0509
45.12,Afternoon,Weekday,4,Medium,Clear,,1.52,0.2,35.34,79.7004,25717.01952,19.9251
32.02,Afternoon,Weekday,2,,Clear,3.78,1.7,0.34,6.39,60.3866,25717.01952,30.1933
17.61,Morning,Weekday,1,Low,Clear,4.26,1.34,0.47,64.68,58.257,25717.01952,58.257
18.11,Evening,,2,Low,Rain,2.93,1.61,0.37,74.66,59.7113,25717.01952,29.85565
,Night,Weekday,2,High,Clear,3.34,1.49,0.27,115.73,89.0764,25717.01952,44.5382
,Night,Weekend,3,Medium,Clear,3.22,1.03,0.38,72.79,77.189,25717.01952,25.72966667
44.47,Evening,Weekday,2,High,Clear,4.95,1.71,0.24,59.18,95.1969,25717.01952,47.59845
39.21,Morning,Weekday,2,Low,Snow,2.88,0.94,0.21,70.94,54.6348,25717.01952,27.3174
